row_id,source_actor,source_type,target_actor,target_type,comuna,tipo_conflicto,url
21,grupo de vecinos de Vitacura,colectivo_vecinal,Comisión de Evaluación Ambiental de la Región Metropolitana,otro,Vitacura,ambiental,https://tribunalambiental.cl/sentencia-r-236-2020-proyecto-inmobiliario-conjunto-armonico-portezuelo-vitacura/
25,Inmobiliaria Uncastillo S.A.,otro,Municipalidad de Cerrillos,municipio,Cerrillos,irregularidad_administrativa,https://actualidadjuridica.doe.cl/corte-suprema-acoge-reclamo-de-ilegalidad-y-deja-sin-efecto-invalidacion-municipal/
26,familia Callejas,ciudadano_individual,Constructora Inarco S.A. e Inmobiliaria Tabancura S.A.,inmobiliaria,Vitacura,otro,https://www.latercera.com/pulso-pm/noticia/familia-callejas-demanda-a-inmobiliarias-por-fallido-proyecto-en-vitacura/
27,VMI Inmobiliaria,otro,Dirección de Obras de Vitacura,municipio,Vitacura,irregularidad_administrativa,https://www.df.cl/empresas/construccion/hermanos-galmez-activan-uno-de-los-mayores-proyectos-inmobiliarios-en
28,un par de vecinos,ciudadano_individual,Inmobiliaria Monjitas S.A.,inmobiliaria,Santiago,patrimonio,https://opinion.cooperativa.cl/opinion/ciudadania/patrimonio-en-riesgo-en-la-comuna-de-santiago/2014-07-17/120323.html
29,Salvemos Lo Barnechea,colectivo_vecinal,Municipalidad de Lo Barnechea,municipio,Lo Barnechea,ambiental,https://www.elmostrador.cl/noticias/pais/2019/07/10/lo-barnechea-en-conflicto-proyecto-inmobiliario-autorizado-por-alcalde-felipe-guevara-amenaza-bosque-nativo/
30,la comunidad,colectivo_vecinal,Concejo de Santiago,municipio,Santiago,impugnacion_plan_regulador,https://www.munistgo.cl/plan-regulador/
31,Inmobiliaria Placilla,otro,Contraloría General de la República,otro,Estación Central,irregularidad_administrativa,https://www.latercera.com/pulso/noticia/inmobiliaria-va-al-tc-dictamen-contraloria-invalido-permisos-estacion-central/725708/
50,Desarrollo Inmobiliario Cerro Apoquindo,otro,Municipalidad de Las Condes,municipio,Las Condes,irregularidad_administrativa,https://www.diarioconstitucional.cl/2025/10/02/municipalidad-de-las-condes-actuo-apegada-a-la-legalidad-en-caso-parque-canal-el-bollo-resuelve-la-corte-suprema/
55,Joaquín Lavín,concejal_politico,Municipalidad de Vitacura,municipio,Vitacura,integracion_social_ds19,https://www.biobiochile.cl/noticias/nacional/region-metropolitana/2018/07/04/termino-conflicto-entre-vitacura-y-las-condes-por-terreno-comunas-realizaran-sus-proyectos.shtml
60,"Municipalidad de Maipú, encabezada por Tomás Vodanovic",otro,4Life Seguros de Vida S.A.,inmobiliaria,Maipú,ambiental,https://www.ex-ante.cl/economia/los-contratos-por-trato-directo-del-alcalde-vodanovic-con-ong-vinculada-al-fa-para-frenar-inversion-inmobiliaria/
65,la inmobiliaria,otro,Municipalidad de San Ramón,municipio,San Ramón,irregularidad_administrativa,https://es.linkedin.com/pulse/luz-verde-judicial-para-un-proyecto-inmobiliario-en-san-tracy-dunstan-uahuc
69,Claudio Orrego,concejal_politico,Suksa,inmobiliaria,Estación Central,densidad_altura,https://www.eldinamo.cl/pais/2017/05/04/inmobiliaria-de-guetos-verticales-se-defiende-con-inserto-en-diario-y-afirma-que-ofrecen-calidad/
81,Junta de Vecinos A15,junta_vecinos,Las Condes,municipio,Vitacura,densidad_altura,https://segreader.emol.cl/2017/05/18/A/M235MCEK/light?gt=134637
83,vecinos del barrio,colectivo_vecinal,Consejo de Monumentos Nacionales,consejo_monumentos_nacionales,Santiago,patrimonio,https://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-69962018000100132
88,Comité La Reina Comuna parque y No parque de edificios,colectivo_vecinal,Inmobiliaria DSE Limitada,inmobiliaria,La Reina,densidad_altura,https://www.defendamoslaciudad.cl/noticias/item/1068-vecinos-se-oponen-a-construccion-de-edificio-en-la-reina
89,Tomás Hirsch,otro,Servicio de Evaluación Ambiental (SEA) de la Región Metropolitana,otro,Peñalolén,ambiental,https://www.biobiochile.cl/noticias/nacional/chile/2020/11/08/viviendo-en-la-falla-de-san-ramon-todo-en-orden.shtml
90,Fundación Defendamos la Ciudad,ong_patrimonial,Municipalidad de Pudahuel,municipio,Pudahuel,irregularidad_administrativa,https://www.ciperchile.cl/2019/01/11/pudahuel-municipalidad-entrego-permisos-de-edificacion-en-terrenos-destinados-a-parques-y-areas-verdes/
92,los vecinos,colectivo_vecinal,Inmobiliaria Universa,inmobiliaria,Peñalolén,densidad_altura,https://www.df.cl/empresas/construccion/luz-verde-a-megaproyecto-en-penalolen-inmobiliaria-y-municipio-sellan
98,Fundación Defendamos la Ciudad,otro,Municipalidad de Santiago,municipio,Santiago,impugnacion_plan_regulador,https://radio.uchile.cl/2017/08/11/un-terreno-urbano-con-2-distintos-usos-de-suelo/
102,Municipalidad de Vitacura,otro,Cencosud,inmobiliaria,Vitacura,irregularidad_administrativa,https://www.ciperchile.cl/2017/04/28/la-batalla-legal-entre-vitacura-y-cencosud-que-tiene-con-pena-a-paulmann/
115,41 vecinos de la comuna de Vitacura,colectivo_vecinal,subcontralor Jorge Reyes,otro,Vitacura,densidad_altura,https://radio.uchile.cl/2025/06/02/si-dorothy-perez-hubiera-ejercido-como-contralora-este-proyecto-en-vitacura-no-se-habria-ejecutado/
124,Junta de Vecinos de la Población Carmen Mena,junta_vecinos,inmobiliaria Maestra,inmobiliaria,San Miguel,densidad_altura,https://radio.uchile.cl/2019/10/12/san-miguel-en-alerta-vecinos-denuncian-indiscriminada-construccion-de-edificios/
126,Movimiento de Pobladoras/es en Lucha (MPL),colectivo_vecinal,Universa SpA,inmobiliaria,Peñalolén,densidad_altura,https://www.elciudadano.com/chile/la-ciudad-no-se-vende-vecinos-de-penalolen-se-rebelan-contra-megaproyecto-aprobado-entre-cuatro-paredes/05/02/
127,coordinadora vecinal de La Reina,colectivo_vecinal,concejo municipal,municipio,La Reina,densidad_altura,https://www.latercera.com/diario-impreso/la-reina-inicia-debate-por-cambios-a-edificacion-en-altura-de-nuevo-plan-regulador/
131,Paulina Bobadilla,concejal_politico,Comisión de Evaluación Ambiental (Coeva) de la Región Metropolitana,otro,Quilicura,ambiental,https://www.pauta.cl/ciudad/2023/02/23/aprueban-nuevo-megaproyecto-en-quilicura-a-pesar-de-oposicion-del-municipio.html
138,Sofía Moller,ciudadano_individual,Inmobiliaria Ilumina,inmobiliaria,Vitacura,otro,https://chocale.cl/2024/07/defectos-en-viviendas-nuevas-familias-denuncian-graves-problemas-estructurales-inmobiliarias-alzazar-ilumina/
142,los tradicionales vecinos de Estación Central,colectivo_vecinal,Inmobiliaria Fortaleza Placilla SpA; Inmobiliaria Dalmacia,inmobiliaria,Estación Central,irregularidad_administrativa,https://www.biobiochile.cl/noticias/blogs/el-blog-de-patricio-herman/2020/10/28/continuara-la-impunidad-para-los-guetos-verticales-con-una-constitucion-de-verdad.shtml
147,Fundación Defendamos la Ciudad,ong_patrimonial,Municipalidad de Las Condes,municipio,Las Condes,impugnacion_plan_regulador,https://www.ciperchile.cl/2017/02/02/contraloria-constata-ilegalidad-en-decreto-que-modifico-plan-regulador-de-las-condes/
150,vecinos del Territorio 1,colectivo_vecinal,Sergio Echeverría,municipio,San Joaquín,densidad_altura,https://elquintopoder.cl/ciudadania/en-san-joaquin-los-vecinos-pedimos-servicios-comunitarios-y-no-construcciones-en-altura/
152,los vecinos,colectivo_vecinal,inmobiliarias,inmobiliaria,Estación Central,densidad_altura,https://transportevertical.org/sitio/guetos-verticales-en-santiago/
159,algunos vecinos y la alcadesa de Vitacura,otro,Cencosud,inmobiliaria,Vitacura,vial_transito,https://www.df.cl/df-mas/coffee-break/cencosud-retira-del-tramite-ambiental-su-proyecto-en-vitacura
160,No + Edificios,colectivo_vecinal,fundación Ciudad del Niño,otro,San Miguel,densidad_altura,https://www.theclinic.cl/2022/01/05/megaproyecto-san-miguel-poblacion/
173,vecinos,colectivo_vecinal,municipio de Las Condes,municipio,Las Condes,irregularidad_administrativa,https://www.latercera.com/negocios/noticia/inmobiliaria-la-familia-chicharro-invertira-us-450-millones-al-2021/73170/
