actor,degree,degree_centrality_denominator
Municipalidad de Vitacura,13,232
Fundación Defendamos la Ciudad,12,232
Municipalidad de Las Condes,11,232
Servicio de Evaluación Ambiental (SEA),9,232
Contraloría General de la República,7,232
Claudio Orrego,5,232
Cencosud,5,232
Municipalidad de Lo Barnechea,4,232
los vecinos,4,232
Su Ksa,4,232
Comisión de Evaluación Ambiental de la Región Metropolitana,3,232
No + Edificios,3,232
Municipalidad de Ñuñoa,3,232
Municipalidad de Providencia,3,232
Cencosud Shopping,3,232
Defendamos la Ciudad,3,232
grupo de vecinos de Vitacura,2,232
Dirección de Obras de Vitacura,2,232
Las Condes,2,232
Municipalidad de Pudahuel,2,232
Municipalidad de Santiago,2,232
inmobiliarias,2,232
vecinos,2,232
Municipalidad de Estación Central,2,232
Ministerio de Educación,2,232
vecinos de Plaza Egaña,2,232
Servicio de Evaluación Ambiental,2,232
Felipe Muñoz,2,232
Cenco Malls,2,232
Ministerio de Vivienda y Urbanismo,2,232
Banco Consorcio,2,232
Inmobiliaria Fundamenta,2,232
grupo de vecinos de San Miguel,2,232
Inmobiliaria Nueva El Golf SpA,2,232
Fundamenta,2,232
Inmobiliaria Uncastillo S.A.,1,232
Municipalidad de Cerrillos,1,232
familia Callejas,1,232
Constructora Inarco S.A. e Inmobiliaria Tabancura S.A.,1,232
VMI Inmobiliaria,1,232
un par de vecinos,1,232
Inmobiliaria Monjitas S.A.,1,232
Salvemos Lo Barnechea,1,232
la comunidad,1,232
Concejo de Santiago,1,232
Inmobiliaria Placilla,1,232
Desarrollo Inmobiliario Cerro Apoquindo,1,232
Joaquín Lavín,1,232
"Municipalidad de Maipú, encabezada por Tomás Vodanovic",1,232
4Life Seguros de Vida S.A.,1,232
la inmobiliaria,1,232
Municipalidad de San Ramón,1,232
Suksa,1,232
Junta de Vecinos A15,1,232
vecinos del barrio,1,232
Consejo de Monumentos Nacionales,1,232
Comité La Reina Comuna parque y No parque de edificios,1,232
Inmobiliaria DSE Limitada,1,232
Tomás Hirsch,1,232
