$CLIMA$hot_days$annual$future$ssp245,$CLIMA$hot_days$annual$present,ComCod,NOM_COMUNA,_source_sha256
76.9443,28.6255,1401.0,POZO ALMONTE,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
0.0,0.0,1403.0,COLCHANE,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
4.3268,0.2853,1402.0,CAMIÑA,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
13.4353,1.6195,1404.0,HUARA,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
0.0053,0.0,1107.0,ALTO HOSPICIO,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
0.0045,0.0,1101.0,IQUIQUE,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
17.1287,6.3174,1405.0,PICA,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
3.5321,0.3397,2104.0,TALTAL,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
17.4352,3.3008,2101.0,ANTOFAGASTA,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
0.7722,0.0466,2201.0,CALAMA,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
0.0,0.0,2202.0,OLLAGÜE,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
22.7048,6.9304,2203.0,SAN PEDRO DE ATACAMA,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
0.0915,0.0037,2102.0,MEJILLONES,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
47.889,13.521,2103.0,SIERRA GORDA,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
140.3645,77.0626,2302.0,MARÍA ELENA,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
0.865,0.0535,2301.0,TOCOPILLA,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
3.1169,0.4494,3101.0,COPIAPÓ,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
0.0465,0.001,3102.0,CALDERA,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
4.3611,1.8364,3103.0,TIERRA AMARILLA,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
4.3035,0.2382,3201.0,CHAÑARAL,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
4.1687,0.5006,3202.0,DIEGO DE ALMAGRO,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
2.846,0.3697,3301.0,VALLENAR,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
6.7848,2.957,3302.0,ALTO DEL CARMEN,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
0.4869,0.0954,3303.0,FREIRINA,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
1.1262,0.1482,3304.0,HUASCO,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
0.2247,0.0541,4101.0,LA SERENA,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
2.3971,0.425,4102.0,COQUIMBO,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
1.1398,0.2194,4103.0,ANDACOLLO,f1e8b480f7c178f769dfd0c3c26badbb956c5d5ec697d9c970434f1a5dddec98
