_source_sha256,mean,year
8ca1ebf9d639ebd550514622af37c47b8c8d67256b9b43e80eeb8f928a99b541,52.4,1970.0
8ca1ebf9d639ebd550514622af37c47b8c8d67256b9b43e80eeb8f928a99b541,53.1,1971.0
8ca1ebf9d639ebd550514622af37c47b8c8d67256b9b43e80eeb8f928a99b541,52.0,1972.0
8ca1ebf9d639ebd550514622af37c47b8c8d67256b9b43e80eeb8f928a99b541,54.3,1973.0
8ca1ebf9d639ebd550514622af37c47b8c8d67256b9b43e80eeb8f928a99b541,56.2,1974.0
8ca1ebf9d639ebd550514622af37c47b8c8d67256b9b43e80eeb8f928a99b541,53.8,1975.0
8ca1ebf9d639ebd550514622af37c47b8c8d67256b9b43e80eeb8f928a99b541,52.6,1976.0
8ca1ebf9d639ebd550514622af37c47b8c8d67256b9b43e80eeb8f928a99b541,55.5,1977.0
8ca1ebf9d639ebd550514622af37c47b8c8d67256b9b43e80eeb8f928a99b541,51.9,1978.0
8ca1ebf9d639ebd550514622af37c47b8c8d67256b9b43e80eeb8f928a99b541,56.0,1979.0
8ca1ebf9d639ebd550514622af37c47b8c8d67256b9b43e80eeb8f928a99b541,55.0,1980.0
8ca1ebf9d639ebd550514622af37c47b8c8d67256b9b43e80eeb8f928a99b541,62.2,1981.0
8ca1ebf9d639ebd550514622af37c47b8c8d67256b9b43e80eeb8f928a99b541,55.0,1982.0
8ca1ebf9d639ebd550514622af37c47b8c8d67256b9b43e80eeb8f928a99b541,54.0,1983.0
8ca1ebf9d639ebd550514622af37c47b8c8d67256b9b43e80eeb8f928a99b541,55.5,1984.0
8ca1ebf9d639ebd550514622af37c47b8c8d67256b9b43e80eeb8f928a99b541,57.9,1985.0
8ca1ebf9d639ebd550514622af37c47b8c8d67256b9b43e80eeb8f928a99b541,59.2,1986.0
8ca1ebf9d639ebd550514622af37c47b8c8d67256b9b43e80eeb8f928a99b541,62.1,1987.0
8ca1ebf9d639ebd550514622af37c47b8c8d67256b9b43e80eeb8f928a99b541,60.0,1988.0
8ca1ebf9d639ebd550514622af37c47b8c8d67256b9b43e80eeb8f928a99b541,59.5,1989.0
8ca1ebf9d639ebd550514622af37c47b8c8d67256b9b43e80eeb8f928a99b541,59.9,1990.0
