_source_sha256,code,delta_fn,description,name,units
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,consecutive_days_over_25C,abs,Número de días que la temperatura máxima diaria supera 25 ºC durante 3 o más días seguidos,Olas de calor > 25ºC,dias
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,consecutive_days_over_28C,abs,Número de días que la temperatura máxima diaria supera 28 ºC durante 3 o más días seguidos,Olas de calor > 28ºC,dias
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,consecutive_days_over_30C,abs,Número de días que la temperatura máxima diaria supera 30 ºC durante 3 o más días seguidos,Olas de calor > 30ºC,dias
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,consecutive_summer_days,abs,"Número máximo de días consecutivos donde la temperatura máxima supera los 25°C, que da cuenta de la extensión del periodo cálido",Días consecutivos de verano,dias
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,daily_temperature_range,abs,Valor medio de la amplitud térmica diaria (Tmax - Tmin).,Amplitud térmica,grados
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,degdays_above_15C,abs,Valor acumulada de la diferencia entre la temperatura media diaria y 15ºC.,Grados-dia sobre 15ºC,grados-dias
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,degdays_above_20C,abs,Valor acumulada de la diferencia entre la temperatura media diaria y 20ºC,Grados-dia sobre 20ºC,grados-dias
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,degdays_above_25,abs,Valor acumulada de la diferencia entre la temperatura media diaria y 25ºC,Grados-dia sobre 25ºC,grados-dias
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,degdays_above_30,abs,Valor acumulada de la diferencia entre la temperatura media diaria y 30ºC,Grados-dia sobre 30ºC,grados-dias
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,hot_days,abs,Número de días en que la temperatura máxima supera 30ºC.,Dias calurosos (>30ºC),dias
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,hottest_day,abs,"Temperatura (en ºC) del día más cálido del periodo considerado (año, estación, mes)",Día más cálido,ºC
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,mean_temperature,abs,"Valor medio de la temperatura media diaria, calculado como 0.5*(Tmax + Tmin)",Temperatura media,grados
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,ola_calor_compuesto_dmc,abs,Ola de calor considerando la temperatura máxima y mínima. Se define como el número de días cuando TX y TN están bajo el percentil 10 por al menos 3 días consecutivos.,Ola de Calor compuesta,dias
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,quite_hot_days,abs,Número de días en que la temperatura máxima supera 28ºC.,Dias relativamente cálidos (> 28ºC),dias
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,summer_days,abs,Número de días en que la temperatura supera 25ºC,Días de verano (> 25ºC),dias
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,tasmax_mean,abs,Promedio de la temperatura máxima diaria,Promedio de la temperatura máxima diaria,ºC
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,tropical_nights,abs,Número de días en que la temperatura mínima supera 20ºC,Noches tropicales,dias
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,very_hot_days,abs,Número de días en que la temperatura supera 34ºC,Dias muy cálidos,dias
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,warm_days,abs,Número de días en que la temperatura supera el umbral definido como el percentil 90 de la temperatura diaria en el periodo de referencia (1980 a 2010).,Días cálidos,dias
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,warmest_night,abs,"Temperatura mínima en el día de mayor temperatura mínima durante el periodo considerado (año, estación, mes)",Noche más cálida,ºC
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,warm_nights,abs,Número de días en que la temperatura mínima supera el umbral definido como el percentil 90 de la temperatura mínima diaria en el periodo de referencia (1980 a 2010).,Noches cálidas,dias
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,warm_nights_duration_index_long,abs,Numero de días consecutivos (en cadenas de al menos 6) que la temperatura mínima supera el percentil 90.,Duración de periodos de noches cálidas (> 6 dias),dias
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,warm_nights_duration_index_short,abs,Numero de días consecutivos (en cadenas de al menos 3) en que la temperatura mínima supera el percentil 90.,Duración de periodos de noches cálidas (> 3 dias),dias
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,warm_spell_duration_index_long,abs,Numero de dias con al menos 6 dias consecutivos en que la temperatura máxima supera el percentil 90.,Duración de episodios cálidos (> 6 dias),dias
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,warm_spell_duration_index_short,abs,Numero de dias con al menos 3 dias consecutivos en que la temperatura máxima supera el percentil 90.,Duración de episodios cálidos (> 3 dias),dias
cac3a1114fa9747b1e98239c914b546544e12312051a01259e872acf4f7eebda,coldest_day,abs,"Temperatura máxima del día más frió del periodo considerado (año, estación, mes)",Día más frío,ºC
