_source_sha256,code,description,geom_type,id_field,name,nfeatures
b4e57bd5f72dc66b85391c077963de45c8abc96982a7a3f800598bfad9e388ea,arclim_raster_5km,ARClim Raster 5 Km,POLYGON,arclim_id,ARClim Raster 5 Km,35225
b4e57bd5f72dc66b85391c077963de45c8abc96982a7a3f800598bfad9e388ea,comunas,Comunas de Chile,POLYGON,arclim_id,Comunas,345
b4e57bd5f72dc66b85391c077963de45c8abc96982a7a3f800598bfad9e388ea,provincias,Provincias de Chile,POLYGON,arclim_id,Provincias,56
b4e57bd5f72dc66b85391c077963de45c8abc96982a7a3f800598bfad9e388ea,regiones,Regiones de Chile,POLYGON,arclim_id,Regiones,16
b4e57bd5f72dc66b85391c077963de45c8abc96982a7a3f800598bfad9e388ea,asentamientos_humanos,"Asentamientos Humanos.

Fuente:  Infraestructura de Datos Espaciales ()",POLYGON,arclim_id,Asentamientos Humanos,1203
b4e57bd5f72dc66b85391c077963de45c8abc96982a7a3f800598bfad9e388ea,censo_2017_entidad,Entidades rurales utilizadas en para el Censo del año 2017,POLYGON,arclim_id,Censo 2017: Entidades Rurales,28567
b4e57bd5f72dc66b85391c077963de45c8abc96982a7a3f800598bfad9e388ea,comunas_centros_urbanos,Centros urbanos principales de cada comuna,MULTIPOINT,arclim_id,Comunas (Centros Urbanos),345
b4e57bd5f72dc66b85391c077963de45c8abc96982a7a3f800598bfad9e388ea,costas_asentamientos,Asentamientos costeros,POINT,arclim_id,Asentamientos costeros,433
b4e57bd5f72dc66b85391c077963de45c8abc96982a7a3f800598bfad9e388ea,catastro_lagos,Catastro de lagos,POLYGON,arclim_id,Catastro de Lagos,2067
b4e57bd5f72dc66b85391c077963de45c8abc96982a7a3f800598bfad9e388ea,cuencas_bna,Cuencas (Banco Nacional de Aguas),POLYGON,arclim_id,Cuencas,139
b4e57bd5f72dc66b85391c077963de45c8abc96982a7a3f800598bfad9e388ea,glaciares_2015,"Capa de información en formato Shape de los glaciares nacionales para el año 2015. Contiene información de su clasificación, nombre cuenca, área entre otro tipo de información",POLYGON,arclim_id,Glaciares 2015,24114
b4e57bd5f72dc66b85391c077963de45c8abc96982a7a3f800598bfad9e388ea,subcuencas_bna,Subcuencas BNA,POLYGON,arclim_id,Subcuencas,489
b4e57bd5f72dc66b85391c077963de45c8abc96982a7a3f800598bfad9e388ea,subsubcuencas_bna,Subsubcuencas BNA,POLYGON,arclim_id,Subsubcuencas,1672
b4e57bd5f72dc66b85391c077963de45c8abc96982a7a3f800598bfad9e388ea,centros_esqui,Centros de esqui y turismo montaña,POINT,arclim_id,Centros de esqui y turismo montaña,14
b4e57bd5f72dc66b85391c077963de45c8abc96982a7a3f800598bfad9e388ea,costas_playas,Playas,POINT,arclim_id,Playas,45
b4e57bd5f72dc66b85391c077963de45c8abc96982a7a3f800598bfad9e388ea,parques_nacionales,Parques Nacionales,POLYGON,arclim_id,Parques Nacionales,36
b4e57bd5f72dc66b85391c077963de45c8abc96982a7a3f800598bfad9e388ea,sendero_chile,Sendero de Chile,LINESTRING,arclim_id,Sendero de Chile,304
b4e57bd5f72dc66b85391c077963de45c8abc96982a7a3f800598bfad9e388ea,snapse,Sistema Nacional de Áreas Silvestres Protegidas del Estado (SNASPE),MULTIPOLYGON,arclim_id,SNASPE,105
b4e57bd5f72dc66b85391c077963de45c8abc96982a7a3f800598bfad9e388ea,turismo_attractivos,Atractivos turísticos,POINT,CODATRAC,Atractivos Turísticos,4413
b4e57bd5f72dc66b85391c077963de45c8abc96982a7a3f800598bfad9e388ea,turismo_destinos,Destinos turísticos,POLYGON,arclim_id,Destinos turísticos,85
b4e57bd5f72dc66b85391c077963de45c8abc96982a7a3f800598bfad9e388ea,acuicultura_barrios,acuicultura,POLYGON,arclim_id,Barrios para Acuicultura,92
b4e57bd5f72dc66b85391c077963de45c8abc96982a7a3f800598bfad9e388ea,costas_caletas,Caletas de Pescadores,POINT,arclim_id,Caletas de Pescadores,545
b4e57bd5f72dc66b85391c077963de45c8abc96982a7a3f800598bfad9e388ea,costas_puertos,Puertos,POINT,arclim_id,Puertos,8
b4e57bd5f72dc66b85391c077963de45c8abc96982a7a3f800598bfad9e388ea,generadores_eolicos,Generadores Energía Eólica,POINT,arclim_id,Generadores Energía Eólica,34
b4e57bd5f72dc66b85391c077963de45c8abc96982a7a3f800598bfad9e388ea,generadores_hidro,Generadores Energía Hidroeléctrica,POINT,arclim_id,Generadores Energía Hidroeléctrica,18
b4e57bd5f72dc66b85391c077963de45c8abc96982a7a3f800598bfad9e388ea,generadores_solares,Generadores Energía Solar,POINT,arclim_id,Generadores Energía Solar,132
b4e57bd5f72dc66b85391c077963de45c8abc96982a7a3f800598bfad9e388ea,suministro_electrico_subestaciones,Subestaciones eléctricas,POINT,arclim_id,Subestaciones eléctricas,278
b4e57bd5f72dc66b85391c077963de45c8abc96982a7a3f800598bfad9e388ea,embalses_dga,"Capa de información vectorial en formato Shape de los embalses a nivel nacional al año 2016. Contiene información de año, altura de muro, propietario, uso, tipo, entre otras características. Fuente: IDE",POINT,arclim_id,Embalses DGA,1367
b4e57bd5f72dc66b85391c077963de45c8abc96982a7a3f800598bfad9e388ea,red_aeroportuaria_nacional,Red Aeroportuaria Nacional,POINT,arclim_id,Red Aeroportuaria Nacional,338
