folio,id_persona,expp,expc,provincia,comuna
100020301,1,285,371,131,13127
100020301,2,285,371,131,13127
100020401,1,286,371,131,13127
100020401,2,286,371,131,13127
100020401,3,286,371,131,13127
100020401,4,286,371,131,13127
100020501,1,285,371,131,13127
100020801,1,285,372,131,13127
100020801,2,285,372,131,13127
100020801,3,285,372,131,13127
100020801,4,285,372,131,13127
100020801,5,285,372,131,13127
100070201,1,60,82,22,2203
100070201,2,60,82,22,2203
100070201,3,60,82,22,2203
100070201,4,60,82,22,2203
100070201,5,60,82,22,2203
100070501,1,61,82,22,2203
100070501,3,61,82,22,2203
100070601,1,60,81,22,2203
100070601,2,60,81,22,2203
100070601,3,60,81,22,2203
100070601,4,60,81,22,2203
100070601,5,60,81,22,2203
100070801,1,60,81,22,2203
100070801,2,60,81,22,2203
100070801,3,60,81,22,2203
100160301,1,183,178,131,13103
100160301,2,183,178,131,13103
100160301,3,183,178,131,13103
100160301,4,183,178,131,13103
100160301,5,183,178,131,13103
100160401,1,183,177,131,13103
100160401,2,183,177,131,13103
100160401,3,183,177,131,13103
100160401,4,183,177,131,13103
100160401,5,183,177,131,13103
100160401,6,183,177,131,13103
100160401,7,183,177,131,13103
100160401,8,183,177,131,13103
100160501,1,183,178,131,13103
100160501,2,183,178,131,13103
100160501,3,183,178,131,13103
100160501,4,183,178,131,13103
100160501,5,183,178,131,13103
100160501,6,183,178,131,13103
100160501,7,183,178,131,13103
100160601,1,183,177,131,13103
100160601,2,183,177,131,13103
100160701,1,182,178,131,13103
100160701,2,182,178,131,13103
100160801,1,183,177,131,13103
100160801,2,183,177,131,13103
100200201,1,99,100,81,8110
100200701,1,99,100,81,8110
100200701,2,99,100,81,8110
100200801,1,100,100,81,8110
100240201,1,102,106,41,4101
100240201,2,102,106,41,4101
100240301,1,101,106,41,4101
100240401,1,101,107,41,4101
100240401,2,101,107,41,4101
100240801,1,101,106,41,4101
100240801,2,101,106,41,4101
100240801,3,101,106,41,4101
100240801,4,101,106,41,4101
100280101,1,73,73,81,8110
100280101,2,73,73,81,8110
100280201,1,73,74,81,8110
100280201,2,73,74,81,8110
100280201,3,73,74,81,8110
100280301,1,73,74,81,8110
100280501,1,74,74,81,8110
100280501,2,74,74,81,8110
100280501,3,74,74,81,8110
100280501,4,74,74,81,8110
100280601,1,74,74,81,8110
100280601,2,74,74,81,8110
100280601,3,74,74,81,8110
100280601,4,74,74,81,8110
100280701,1,74,73,81,8110
100280701,2,74,73,81,8110
100280701,3,74,73,81,8110
100280801,1,73,74,81,8110
100280801,2,73,74,81,8110
100290101,1,78,77,61,6101
100290101,2,78,77,61,6101
100290201,1,78,77,61,6101
100290301,1,78,77,61,6101
100290301,2,78,77,61,6101
100290301,3,78,77,61,6101
100290301,4,78,77,61,6101
100290301,5,78,77,61,6101
100290501,1,78,76,61,6101
100290501,2,78,76,61,6101
100290501,3,78,76,61,6101
100290501,4,78,76,61,6101
100290701,1,78,77,61,6101
100290701,2,78,77,61,6101
100290701,3,78,77,61,6101
100290701,4,78,77,61,6101
100290701,5,78,77,61,6101
100290801,1,78,77,61,6101
100290801,2,78,77,61,6101
100300101,1,63,69,91,9101
100300201,1,63,69,91,9101
100300301,1,63,69,91,9101
100300401,1,63,69,91,9101
100300401,2,63,69,91,9101
100300501,1,63,70,91,9101
100300801,1,63,69,91,9101
100300801,2,63,69,91,9101
100300801,3,63,69,91,9101
100340101,1,184,175,131,13119
100340101,2,184,175,131,13119
100340101,3,184,175,131,13119
100340201,1,183,175,131,13119
100340201,2,183,175,131,13119
100340201,3,183,175,131,13119
100340301,1,183,175,131,13119
100340301,2,183,175,131,13119
100340301,3,183,175,131,13119
100340401,1,183,175,131,13119
100340501,1,183,175,131,13119
100340501,2,183,175,131,13119
100340501,3,183,175,131,13119
100340801,1,183,175,131,13119
100390101,1,37,41,141,14107
100390101,2,37,41,141,14107
100390201,1,37,41,141,14107
100390201,2,37,41,141,14107
100390201,3,37,41,141,14107
100390201,4,37,41,141,14107
100390301,1,37,41,141,14107
100390301,2,37,41,141,14107
100390301,3,37,41,141,14107
100390301,4,37,41,141,14107
100390401,1,37,42,141,14107
100390401,2,37,42,141,14107
100390401,3,37,42,141,14107
100390401,4,37,42,141,14107
100390601,1,37,42,141,14107
100390601,2,37,42,141,14107
100390601,3,37,42,141,14107
100390601,4,37,42,141,14107
100390601,5,37,42,141,14107
100390701,1,37,42,141,14107
100390701,2,37,42,141,14107
100410301,2,63,60,71,7102
100410301,3,63,60,71,7102
100410301,4,63,60,71,7102
100410301,5,63,60,71,7102
100410401,1,63,60,71,7102
100410401,2,63,60,71,7102
100410701,1,63,60,71,7102
100410701,2,63,60,71,7102
100410801,1,63,61,71,7102
100410801,2,63,61,71,7102
100410801,3,63,61,71,7102
100420201,1,176,168,131,13119
100420201,2,176,168,131,13119
100420201,3,176,168,131,13119
100420301,1,175,167,131,13119
100420301,2,175,167,131,13119
100420401,1,175,167,131,13119
100420501,1,176,167,131,13119
100420501,2,176,167,131,13119
100420501,3,176,167,131,13119
100420501,4,176,167,131,13119
100420501,5,176,167,131,13119
100420601,1,175,167,131,13119
100420601,2,175,167,131,13119
100420701,1,176,168,131,13119
100420701,2,176,168,131,13119
100420701,3,176,168,131,13119
100420701,4,176,168,131,13119
100420801,1,176,168,131,13119
100420801,2,176,168,131,13119
100420801,3,176,168,131,13119
100450101,1,62,50,101,10109
100450101,2,62,50,101,10109
100450101,3,62,50,101,10109
100450201,1,61,50,101,10109
100450201,2,61,50,101,10109
100450201,3,61,50,101,10109
100450201,4,61,50,101,10109
100450201,5,61,50,101,10109
100450301,1,62,50,101,10109
100450301,2,62,50,101,10109
100450301,3,62,50,101,10109
100450301,4,62,50,101,10109
100450401,1,61,50,101,10109
100450401,2,61,50,101,10109
100450501,1,61,50,101,10109
100450501,2,61,50,101,10109
100450501,3,61,50,101,10109
100450501,4,61,50,101,10109
100450601,1,61,50,101,10109
100450601,2,61,50,101,10109
100450601,3,61,50,101,10109
100450701,1,61,50,101,10109
100450701,2,61,50,101,10109
100450801,1,61,50,101,10109
100450801,2,61,50,101,10109
100480201,1,193,198,131,13112
100480301,1,193,198,131,13112
100480501,1,193,198,131,13112
100480501,2,193,198,131,13112
100480501,3,193,198,131,13112
100480501,4,193,198,131,13112
100480501,5,193,198,131,13112
100480601,1,193,197,131,13112
100480601,2,193,197,131,13112
100480601,3,193,197,131,13112
100480601,4,193,197,131,13112
100480701,1,193,198,131,13112
100480701,2,193,198,131,13112
100480801,1,193,198,131,13112
100480801,2,193,198,131,13112
100480801,4,193,198,131,13112
100510101,1,86,75,61,6109
100510101,2,86,75,61,6109
100510101,3,86,75,61,6109
100510101,4,86,75,61,6109
100510101,5,86,75,61,6109
100510101,7,86,75,61,6109
100510101,8,86,75,61,6109
100510101,9,86,75,61,6109
100510201,1,86,75,61,6109
100510301,1,86,74,61,6109
100510501,1,86,75,61,6109
100510601,1,86,75,61,6109
100510601,2,86,75,61,6109
100510601,3,86,75,61,6109
100510701,1,86,75,61,6109
100510801,1,86,75,61,6109
100510801,2,86,75,61,6109
100510801,3,86,75,61,6109
100510901,1,86,75,61,6109
100510901,2,86,75,61,6109
100511001,1,86,74,61,6109
100530101,1,80,76,81,8112
100530101,3,80,76,81,8112
100530101,4,80,76,81,8112
100530101,5,80,76,81,8112
100530201,1,80,77,81,8112
100530301,1,80,76,81,8112
100530301,2,80,76,81,8112
100530401,1,81,77,81,8112
