sheet,metric,tipo_vivienda,region,comuna,year,value,source
número_total,unidades,total,Metropolitana,Santiago,2002,3282,minvu_permisos_viviendas_unidades_superficie_ano_comuna.download
número_total,unidades,total,Metropolitana,Santiago,2003,5009,minvu_permisos_viviendas_unidades_superficie_ano_comuna.download
número_total,unidades,total,Metropolitana,Santiago,2004,8901,minvu_permisos_viviendas_unidades_superficie_ano_comuna.download
número_total,unidades,total,Metropolitana,Santiago,2005,11956,minvu_permisos_viviendas_unidades_superficie_ano_comuna.download
número_total,unidades,total,Metropolitana,Santiago,2006,15728,minvu_permisos_viviendas_unidades_superficie_ano_comuna.download
número_total,unidades,total,Metropolitana,Santiago,2007,11785,minvu_permisos_viviendas_unidades_superficie_ano_comuna.download
número_total,unidades,total,Metropolitana,Santiago,2008,17449,minvu_permisos_viviendas_unidades_superficie_ano_comuna.download
número_total,unidades,total,Metropolitana,Santiago,2009,15920,minvu_permisos_viviendas_unidades_superficie_ano_comuna.download
número_total,unidades,total,Metropolitana,Santiago,2010,1982,minvu_permisos_viviendas_unidades_superficie_ano_comuna.download
número_total,unidades,total,Metropolitana,Santiago,2011,6242,minvu_permisos_viviendas_unidades_superficie_ano_comuna.download
número_total,unidades,total,Metropolitana,Santiago,2012,2747,minvu_permisos_viviendas_unidades_superficie_ano_comuna.download
número_total,unidades,total,Metropolitana,Santiago,2013,7171,minvu_permisos_viviendas_unidades_superficie_ano_comuna.download
número_total,unidades,total,Metropolitana,Santiago,2014,11208,minvu_permisos_viviendas_unidades_superficie_ano_comuna.download
número_total,unidades,total,Metropolitana,Santiago,2015,4579,minvu_permisos_viviendas_unidades_superficie_ano_comuna.download
número_total,unidades,total,Metropolitana,Santiago,2016,7887,minvu_permisos_viviendas_unidades_superficie_ano_comuna.download
número_total,unidades,total,Metropolitana,Santiago,2017,5506,minvu_permisos_viviendas_unidades_superficie_ano_comuna.download
número_total,unidades,total,Metropolitana,Santiago,2019,9562,minvu_permisos_viviendas_unidades_superficie_ano_comuna.download
número_total,unidades,total,Metropolitana,Santiago,2020,8969,minvu_permisos_viviendas_unidades_superficie_ano_comuna.download
número_total,unidades,total,Metropolitana,Santiago,2021,10270,minvu_permisos_viviendas_unidades_superficie_ano_comuna.download
número_total,unidades,total,Metropolitana,Santiago,2022,6029,minvu_permisos_viviendas_unidades_superficie_ano_comuna.download
número_total,unidades,total,Metropolitana,Santiago,2023,4949,minvu_permisos_viviendas_unidades_superficie_ano_comuna.download
número_total,unidades,total,Metropolitana,Santiago,2026,1,minvu_permisos_viviendas_unidades_superficie_ano_comuna.download
número_total,unidades,total,Metropolitana,Cerrillos,2002,270,minvu_permisos_viviendas_unidades_superficie_ano_comuna.download
número_total,unidades,total,Metropolitana,Cerrillos,2003,149,minvu_permisos_viviendas_unidades_superficie_ano_comuna.download
número_total,unidades,total,Metropolitana,Cerrillos,2004,1020,minvu_permisos_viviendas_unidades_superficie_ano_comuna.download
número_total,unidades,total,Metropolitana,Cerrillos,2005,852,minvu_permisos_viviendas_unidades_superficie_ano_comuna.download
