candidate_id,name,norm_name,place_type,focus_type,is_specific_focus,localidad,comuna,provincia,region,lat,lon,source,ambiguous_count
geo_000000,A. Martinez,a martinez,Obras de Infraestructura,infraestructura,True,,COCHRANE,CAPITAN PRAT,DE AISEN,-47.400068024187945,-72.74964958058669,Toponimos_BCN,1
geo_000001,A. Prat,a prat,Infraestructura Ferroviaria,infraestructura,True,,ANTOFAGASTA,ANTOFAGASTA,DE ANTOFAGASTA,-23.46681019775562,-70.16641260249071,Toponimos_BCN,1
geo_000002,A. Romero,a romero,Obras de Infraestructura,infraestructura,True,,COCHRANE,CAPITAN PRAT,DE AISEN,-47.35006856068273,-72.866316372785,Toponimos_BCN,1
geo_000003,Abanico,abanico,Centro Poblado,localidad,False,Abanico,ANTUCO,BIO-BIO,DEL BIO-BIO,-37.33343400095106,-71.51637081402325,Toponimos_BCN,1
geo_000004,Abarca,abarca,Centro Poblado,localidad,False,Abarca,PENCAHUE,TALCA,DEL MAULE,-35.25010869653463,-71.84971121053036,Toponimos_BCN,1
geo_000005,Abe,abe,Red Hidrografica,rio,True,,CISNES,AISEN,DE AISEN,-43.83341485465123,-72.93300408081437,Toponimos_BCN,1
geo_000006,Ablemo,ablemo,Localidad Rural,localidad,False,Ablemo,SAN CARLOS,PUNILLA,DE ÑUBLE,-36.45010510283901,-72.04970643006783,Toponimos_BCN,1
geo_000007,Ablemos,ablemos,Localidad Rural,localidad,False,Ablemos,SAN CARLOS,PUNILLA,DE ÑUBLE,-36.45010510283901,-72.04970643006783,Toponimos_BCN,1
geo_000008,Abra,abra,Recinto Minero,mina,True,,CALAMA,EL LOA,DE ANTOFAGASTA,-21.966812584034997,-68.71641823987049,Toponimos_BCN,1
geo_000009,Abra Crammer,abra crammer,Red Hidrografica,rio,True,,NATALES,ULTIMA ESPERANZA,DE MAGALLANES y ANTARTICA CHILENA,-50.03784408785052,-75.2404582909402,Toponimos_BCN,1
geo_000010,Abra Cuthbert,abra cuthbert,Red Hidrografica,rio,True,,TORTEL,CAPITAN PRAT,DE AISEN,-48.43340337243136,-74.61630497326979,Toponimos_BCN,1
geo_000011,Abra de Burns,abra de burns,Red Hidrografica,rio,True,,AISEN,AISEN,DE AISEN,-46.01674654888506,-74.99965352792002,Toponimos_BCN,1
geo_000012,Abra de los Patos,abra de los patos,Elementos del Relieve,relieve,True,,SAN PEDRO DE ATACAMA,EL LOA,DE ANTOFAGASTA,-23.45013972364405,-67.78308410260836,Toponimos_BCN,1
geo_000013,Abra Diaz,abra diaz,Red Hidrografica,rio,True,,RIO VERDE,MAGALLANES,DE MAGALLANES y ANTARTICA CHILENA,-53.26671275547722,-72.69960375518541,Toponimos_BCN,1
geo_000014,Abra Don Pedro,abra don pedro,Red Hidrografica,rio,True,,NATALES,ULTIMA ESPERANZA,DE MAGALLANES y ANTARTICA CHILENA,-50.233397604705765,-74.84962425289382,Toponimos_BCN,1
geo_000015,Abra Escarhalla,abra escarhalla,Elementos del Relieve,relieve,True,,COLCHANE,TAMARUGAL,DE TARAPACA,-19.51682017775293,-68.83308856604111,Toponimos_BCN,1
geo_000016,Abra Honda,abra honda,Red Hidrografica,rio,True,,NATALES,ULTIMA ESPERANZA,DE MAGALLANES y ANTARTICA CHILENA,-51.81672378414585,-74.3996122860494,Toponimos_BCN,1
geo_000017,Abra Justicia,abra justicia,Red Hidrografica,rio,True,,NATALES,ULTIMA ESPERANZA,DE MAGALLANES y ANTARTICA CHILENA,-51.65005600635991,-73.89961492706611,Toponimos_BCN,1
geo_000018,Abra Kelly,abra kelly,Red Hidrografica,rio,True,,TORTEL,CAPITAN PRAT,DE AISEN,-47.00007349993809,-74.0496492793703,Toponimos_BCN,1
geo_000019,Abra Negra,abra negra,Elementos del Relieve,relieve,True,,CALAMA,EL LOA,DE ANTOFAGASTA,-21.633480379166222,-68.83308517669755,Toponimos_BCN,1
geo_000020,Abra Paso del Inca,abra paso del inca,Elementos del Relieve,relieve,True,,OLLAGUE,EL LOA,DE ANTOFAGASTA,-21.71681241929179,-68.11641993477552,Toponimos_BCN,1
geo_000021,Abra Picavilque,abra picavilque,Elementos del Relieve,relieve,True,,COLCHANE,TAMARUGAL,DE TARAPACA,-19.73348604142764,-68.76642175192694,Toponimos_BCN,1
geo_000022,Abra Ramaditas,abra ramaditas,Elementos del Relieve,relieve,True,,OLLAGUE,EL LOA,DE ANTOFAGASTA,-21.666812586985326,-68.13308655610821,Toponimos_BCN,1
geo_000023,Abra San Antonio,abra san antonio,Elementos del Relieve,relieve,True,,CALAMA,EL LOA,DE ANTOFAGASTA,-21.600147303605336,-68.9330850259663,Toponimos_BCN,1
geo_000024,Abra Surumana,abra surumana,Elementos del Relieve,relieve,True,,COLCHANE,TAMARUGAL,DE TARAPACA,-19.633486248052694,-68.733088570347,Toponimos_BCN,1
